Date,Open,High,Low,Close,Adj Close,Volume
2017-11-17,108.400002,109.379997,107.870003,108.830002,103.123215,247900
2017-11-20,108.940002,110.110001,108.940002,109.860001,104.099197,248300
2017-11-21,110.470001,110.559998,109.440002,110.540001,104.743546,292500
2017-11-22,110.559998,110.910004,110.139999,110.750000,104.942535,182000
2017-11-24,111.000000,111.019997,110.400002,110.820000,105.008873,76200
2017-11-27,110.559998,112.230003,110.559998,112.160004,106.278603,320100
2017-11-28,112.360001,114.070000,112.169998,113.940002,107.965263,220300
2017-11-29,113.940002,114.889999,113.510002,114.379997,108.382187,224200
2017-11-30,114.739998,116.050003,114.309998,114.970001,108.941254,518700
2017-12-01,115.000000,115.000000,112.360001,113.570000,107.614685,305900
2017-12-04,114.500000,116.529999,114.419998,115.910004,109.831963,449400
2017-12-05,116.089996,116.250000,114.779999,114.820000,108.799110,286500
2017-12-06,114.699997,114.699997,113.379997,113.750000,107.785225,192500
2017-12-07,113.629997,114.779999,113.629997,114.610001,108.600121,156900
2017-12-08,114.910004,114.910004,114.040001,114.120003,108.135826,167900
2017-12-11,114.050003,114.050003,112.639999,112.889999,106.970322,195600
2017-12-12,113.019997,113.709999,111.860001,111.900002,106.032234,298100
2017-12-13,112.150002,112.449997,111.570000,111.809998,105.946960,441600
2017-12-14,112.269997,112.610001,110.320000,110.400002,104.610909,318600
2017-12-15,110.830002,112.930000,110.830002,112.379997,106.487053,964200
2017-12-18,113.099998,113.970001,112.639999,113.260002,107.320915,184300
2017-12-19,113.519997,113.919998,112.500000,112.849998,106.932411,292500
2017-12-20,113.550003,113.629997,112.639999,113.360001,107.415680,215300
2017-12-21,113.440002,114.669998,113.010002,114.250000,108.259018,221200
2017-12-22,113.839996,114.199997,112.930000,113.510002,107.557800,180900
2017-12-26,113.209999,114.019997,113.099998,113.290001,107.349350,119900
2017-12-27,113.190002,113.739998,112.489998,113.019997,107.093506,111900
2017-12-28,113.559998,113.580002,112.889999,113.470001,107.519905,150200
2017-12-29,113.800003,114.959999,112.760002,113.650002,107.690468,274300
2018-01-02,114.459999,117.279999,114.199997,116.989998,110.855324,435800
2018-01-03,117.040001,118.599998,117.040001,118.099998,111.907112,313600
2018-01-04,118.529999,119.000000,117.809998,118.139999,111.945015,301700
2018-01-05,118.650002,118.900002,117.610001,117.940002,111.755508,157900
2018-01-08,117.889999,118.970001,116.760002,118.750000,112.523033,313000
2018-01-09,118.790001,119.209999,117.860001,117.940002,111.755508,210100
2018-01-10,117.529999,118.260002,117.099998,117.169998,111.025887,227500
2018-01-11,117.419998,118.330002,117.269997,118.279999,112.077675,309900
2018-01-12,117.910004,118.199997,116.800003,116.959999,110.826912,272000
2018-01-16,117.339996,117.489998,115.519997,115.940002,109.860390,431600
2018-01-17,116.449997,117.160004,115.480003,116.089996,110.002510,456900
2018-01-18,115.430000,116.910004,115.190002,116.339996,110.239403,623500
2018-01-19,116.360001,119.120003,116.360001,117.800003,111.622849,500300
2018-01-22,117.290001,117.529999,114.970001,115.480003,109.424500,283100
2018-01-23,115.540001,116.169998,114.190002,115.570000,109.509789,368800
2018-01-24,115.379997,117.129997,115.169998,115.900002,109.822479,418900
2018-01-25,115.599998,115.720001,112.529999,113.360001,107.415680,663400
